pseudonym,group,performance,pre,post,gain,frustration,comprehension
df46f4a9,Iris,0.0,0,2,2,3,0
e8786b45,No AI,100.0,0,3,3,5,1
32306b74,Iris,44.4,3,3,0,5,0
860ecc44,ChatGPT,100.0,2,3,1,2,2
fa8f3509,ChatGPT,100.0,2,4,2,4,2
31e4a0c8,No AI,22.2,4,5,1,4,1
13f27ad5,No AI,100.0,2,4,2,3,1
0cbc6f96,ChatGPT,100.0,1,2,1,4,2
da8448a2,Iris,100.0,0,0,0,2,0
f4313ed6,Iris,100.0,2,0,-2,5,1
5cda9a65,No AI,11.1,2,1,-1,4,1
0bbe4b39,No AI,100.0,5,4,-1,2,2
fb496160,ChatGPT,88.9,1,1,0,5,0
6d605496,Iris,100.0,5,4,-1,5,1
8c46d4c4,Iris,44.4,1,1,0,2,1
b9a3edca,No AI,11.1,0,5,5,4,1
72b798fb,Iris,88.9,0,1,1,2,2
6a3f494a,No AI,0.0,0,3,3,5,1
4a532ce9,No AI,0.0,0,1,1,5,1
6817fe3c,No AI,44.4,0,6,6,5,1
c69e6e88,Iris,100.0,2,2,0,2,3
2fe31ee7,Iris,100.0,4,6,2,4,1
f7e98e02,No AI,22.2,2,4,2,5,0
b5df2fcc,Iris,66.7,6,6,0,4,2
ceb34917,ChatGPT,100.0,3,3,0,2,2
f3f3cbd0,ChatGPT,100.0,2,1,-1,2,2
0e352f88,Iris,22.2,2,2,0,5,1
c4e35c2a,Iris,66.7,3,4,1,5,2
a77ec8e1,No AI,11.1,0,0,0,5,0
6259f776,ChatGPT,100.0,1,0,-1,4,1
9ba07d70,Iris,0.0,1,2,1,3,1
6c2cb2d2,Iris,11.1,5,6,1,1,1
350c265f,No AI,11.1,5,3,-2,4,2
0721af00,No AI,0.0,0,0,0,5,1
2ee0b1d1,ChatGPT,0.0,4,4,0,2,2
ec9d10ca,No AI,0.0,4,3,-1,4,1
220a86cf,Iris,22.2,0,0,0,3,1
398c4543,ChatGPT,100.0,1,5,4,3,1
8a1001f9,No AI,100.0,0,0,0,3,0
458eb61d,No AI,0.0,3,5,2,5,0
ff309195,No AI,22.2,6,6,0,3,0
0607ad61,Iris,100.0,5,6,1,3,1
7d87354c,Iris,44.4,1,2,1,5,0
93525e48,Iris,100.0,0,1,1,2,2
7b976e3c,ChatGPT,22.2,6,4,-2,4,1
f7c3cfc5,Iris,100.0,5,6,1,5,1
8b203e9f,No AI,44.4,3,3,0,3,2
d924cd85,No AI,22.2,6,6,0,5,2
80f4d5bc,ChatGPT,100.0,2,0,-2,1,0
98847a47,Iris,100.0,3,3,0,1,1
33e32ab6,ChatGPT,100.0,5,6,1,2,3
f5598405,ChatGPT,100.0,0,0,0,4,2
36afce1a,Iris,100.0,3,6,3,2,1
cce04791,ChatGPT,100.0,1,6,5,2,3
5df7113c,No AI,100.0,2,2,0,4,2
14fc5660,No AI,44.4,3,5,2,4,3
489a307c,ChatGPT,44.4,0,3,3,4,0
c5b6b6aa,No AI,66.7,1,3,2,4,2
1a807a8f,Iris,44.4,5,5,0,4,0
a51aa01d,ChatGPT,0.0,2,3,1,5,2
dc6698cd,Iris,88.9,1,4,3,3,1
5cbefe45,No AI,22.2,6,6,0,5,1
3f295061,No AI,22.2,1,3,2,4,1
af5ad0db,ChatGPT,0.0,5,6,1,4,0
ef894196,ChatGPT,0.0,2,4,2,5,2
cbdcee38,No AI,22.2,2,2,0,3,2
09525f93,ChatGPT,44.4,6,5,-1,5,0
5c9102f8,ChatGPT,0.0,1,3,2,2,1
66ca1005,ChatGPT,100.0,1,2,1,3,1
b2a78ba0,ChatGPT,100.0,3,5,2,5,1
07fb536f,ChatGPT,100.0,0,0,0,1,2
9ea0644a,Iris,100.0,6,6,0,2,1
ce265ed1,Iris,44.4,0,4,4,2,1
b0c22e94,Iris,11.1,3,4,1,4,2
71ee0451,No AI,0.0,2,4,2,5,2
57aca6cc,No AI,0.0,1,3,2,4,1
4bd9d03b,No AI,0.0,3,1,-2,3,2
255573a7,No AI,44.4,0,0,0,2,2
a70c6105,ChatGPT,100.0,6,4,-2,3,2
22a78b05,No AI,0.0,5,6,1,2,2
bf86f806,ChatGPT,100.0,1,1,0,2,0
ad48fb3e,ChatGPT,66.7,0,0,0,2,0
ed112b43,No AI,0.0,0,1,1,5,0
031ec368,No AI,0.0,1,0,-1,4,1
6d0bec98,ChatGPT,100.0,1,2,1,2,2
e2471cf4,Iris,100.0,0,1,1,3,1
7d299391,No AI,100.0,0,4,4,5,2
76ba516f,ChatGPT,100.0,0,0,0,1,2
01c3671f,ChatGPT,100.0,2,6,4,1,1
a1dc7bd0,No AI,100.0,4,5,1,5,3
35bef3da,No AI,0.0,0,0,0,4,1
e1bf6140,No AI,44.4,0,1,1,4,1
fc5f0f00,ChatGPT,44.4,0,3,3,5,1
e1e21749,Iris,0.0,0,0,0,4,2
1d9273ac,Iris,44.4,0,3,3,3,2
4766711c,Iris,44.4,0,2,2,2,2
906929df,ChatGPT,100.0,1,1,0,1,2
321b9df3,No AI,0.0,0,0,0,1,0
5d79ef6a,No AI,44.4,1,2,1,5,2
bd315a3c,No AI,11.1,5,5,0,2,1
e995b6fc,No AI,66.7,2,5,3,3,3
67ed0b6d,ChatGPT,11.1,2,4,2,4,3
27646053,No AI,100.0,0,0,0,5,0
e950dae9,ChatGPT,100.0,4,5,1,1,2
e58394d4,Iris,100.0,5,4,-1,4,2
668b057d,Iris,44.4,0,0,0,4,1
9c862e09,Iris,66.7,0,2,2,2,1
60264f4d,ChatGPT,0.0,1,3,2,3,0
b783eaef,No AI,22.2,4,4,0,3,1
647aa9ed,Iris,66.7,5,5,0,3,1
e6a062bd,Iris,88.9,3,5,2,1,2
8dccffc5,Iris,44.4,0,1,1,3,2
bb4edefb,Iris,44.4,3,4,1,4,0
be8742a5,Iris,100.0,1,1,0,4,2
b805c463,No AI,44.4,0,2,2,5,1
97f525da,Iris,0.0,2,5,3,3,1
bb564dbc,Iris,44.4,1,3,2,4,3
deab0531,No AI,0.0,2,3,1,5,0
c5d07494,ChatGPT,100.0,0,1,1,3,1
9b8e802e,Iris,0.0,5,4,-1,5,1
9b1cbcb3,No AI,22.2,0,2,2,4,0
be00c63c,ChatGPT,100.0,1,2,1,2,1
7523dc8a,ChatGPT,0.0,5,5,0,3,1
d5db33fa,No AI,100.0,5,4,-1,2,2
bd5287bd,No AI,0.0,3,4,1,4,1
05ad5a74,ChatGPT,0.0,4,3,-1,4,0
54796533,Iris,100.0,4,6,2,2,2
a2ac09a7,Iris,100.0,0,2,2,3,0
7827c9c8,Iris,100.0,0,0,0,4,2
cd2f2d09,ChatGPT,0.0,0,0,0,4,1
1ecbd46b,Iris,100.0,0,3,3,2,3
84331f2d,ChatGPT,55.6,1,2,1,4,1
b0040e98,ChatGPT,100.0,2,5,3,3,2
94194419,Iris,66.7,4,4,0,4,2
9e95994e,ChatGPT,100.0,1,4,3,4,2
bc593d01,ChatGPT,11.1,0,2,2,4,1
1676d1dd,ChatGPT,0.0,0,0,0,4,0
d1dce5d4,No AI,0.0,0,0,0,5,2
87340190,Iris,44.4,3,6,3,1,3
02cb97a3,Iris,44.4,1,1,0,3,2
ae0fb680,Iris,11.1,1,2,1,4,0
2ef5fb1c,ChatGPT,100.0,5,3,-2,5,2
c3b62fbc,Iris,22.2,4,3,-1,5,2
58e6544f,No AI,100.0,6,6,0,4,2
9a7dd0d4,No AI,0.0,0,0,0,4,0
dd5664a7,ChatGPT,100.0,3,3,0,4,3
1c884755,ChatGPT,100.0,2,1,-1,5,1
fe8ffccd,Iris,0.0,4,1,-3,5,0
97b54b61,ChatGPT,100.0,4,5,1,2,1
83f0abfc,No AI,44.4,4,4,0,4,3
321c9da0,No AI,0.0,0,0,0,4,0
b94bbd60,Iris,100.0,5,5,0,4,0
609f8d13,No AI,0.0,3,5,2,4,0
0bc31175,Iris,0.0,0,0,0,3,1
4aed77dd,Iris,100.0,2,3,1,2,2
be46d854,Iris,44.4,2,4,2,5,2
91254bc4,No AI,22.2,5,5,0,3,2
fb0d15f1,No AI,0.0,0,0,0,4,1
9ae22e45,No AI,66.7,4,4,0,2,3
368d693a,Iris,66.7,1,3,2,4,3
cf7f3abf,No AI,11.1,0,3,3,5,0
66237de0,No AI,0.0,0,0,0,5,0
e4cc19cb,No AI,0.0,4,4,0,5,1
52911d43,No AI,0.0,1,3,2,5,1
65535378,Iris,88.9,1,3,2,2,3
489d0258,No AI,11.1,4,2,-2,5,1
e3b27d7a,ChatGPT,100.0,0,1,1,4,0
cf5b2e58,Iris,66.7,5,4,-1,4,0
b6cdba76,No AI,0.0,0,0,0,4,1
08deb519,No AI,0.0,3,1,-2,5,0
318826cb,ChatGPT,100.0,2,3,1,4,2
fb33995d,Iris,11.1,2,2,0,4,1
fea54869,ChatGPT,100.0,5,6,1,2,1
7d70eefe,ChatGPT,100.0,4,6,2,2,1
17f06dd2,ChatGPT,66.7,2,5,3,2,3
f8532e26,No AI,22.2,3,1,-2,4,1
4f78b4ec,ChatGPT,44.4,1,0,-1,4,0
1581639b,No AI,0.0,3,3,0,5,1
f6aab2b0,Iris,0.0,1,1,0,4,1
bfb737f8,No AI,11.1,0,0,0,4,1
e04d1fcd,No AI,22.2,0,2,2,3,1
a2c93f99,ChatGPT,100.0,3,4,1,1,2
8bc864f2,No AI,0.0,0,1,1,5,3
a894071f,Iris,77.8,0,3,3,3,2
8b3e090b,No AI,44.4,0,1,1,4,0
044e0b9c,Iris,11.1,2,3,1,5,1
4155bfc0,No AI,100.0,0,0,0,5,1
3ad943c7,No AI,44.4,4,6,2,4,0
b1be2d77,No AI,100.0,3,3,0,1,1
2cd91470,Iris,66.7,0,2,2,3,2
788ed8c6,Iris,100.0,3,4,1,2,0
4583b8a4,No AI,11.1,1,4,3,4,1
249b990e,ChatGPT,100.0,3,3,0,5,3
840163ed,No AI,66.7,3,6,3,4,3
e6e2fe5c,Iris,44.4,3,4,1,2,2
7a61d0c9,Iris,44.4,1,1,0,3,2
48a8da21,Iris,0.0,0,0,0,3,1
7a778799,Iris,0.0,4,4,0,2,1
4699aea8,Iris,88.9,1,2,1,2,1
4a2f69f1,ChatGPT,100.0,3,4,1,2,0
fdffbaa8,ChatGPT,100.0,6,5,-1,4,2
31635624,Iris,44.4,0,0,0,4,2
5a0d81ca,Iris,100.0,6,6,0,2,1
3769002a,Iris,66.7,1,1,0,2,2
5a1b755c,Iris,0.0,0,0,0,5,1
8b4f3775,ChatGPT,0.0,1,0,-1,2,0
69c58cdf,ChatGPT,66.7,4,5,1,4,2
b93b1207,No AI,0.0,3,3,0,4,2
af9ba91b,Iris,0.0,1,0,-1,3,2
4ebccae6,ChatGPT,100.0,2,3,1,3,1
aa759179,No AI,44.4,0,0,0,4,0
49f4e020,ChatGPT,100.0,3,3,0,2,1
ef436a2c,ChatGPT,0.0,1,2,1,1,2
7f2ec01a,Iris,44.4,1,0,-1,2,2
0c7fc4ee,No AI,0.0,0,1,1,4,2
afa9e6e3,ChatGPT,88.9,2,3,1,3,1
f660d46e,ChatGPT,0.0,2,2,0,4,1
fc9c5cc0,ChatGPT,0.0,3,3,0,4,2
8b8a9195,Iris,11.1,0,2,2,2,1
2ffebad8,No AI,0.0,1,2,1,4,0
e358e77a,No AI,0.0,1,1,0,4,1
930d1cc4,Iris,100.0,1,1,0,4,1
623300d4,Iris,66.7,2,3,1,4,2
fb2bc0ee,ChatGPT,100.0,4,4,0,3,1
eb30dde3,ChatGPT,100.0,6,6,0,3,3
ca4083c3,ChatGPT,0.0,4,5,1,3,1
3568eb81,ChatGPT,100.0,1,1,0,3,1
55ebf340,No AI,0.0,3,5,2,5,0
f1180156,Iris,22.2,6,6,0,4,1
a80c39ff,No AI,0.0,5,5,0,5,2
06b771bb,No AI,0.0,1,3,2,4,1
